"RegionsOfBrazil","Casos..2016..04.01.2016..26.01.2016."
"Acre",429
"Alagoas",303
"Amapá",12
"Amazonas",360
"Bahia",1234
"Ceará",717
"Distrito Federal",546
"Espírito Santo",3676
"Goiás",4412
"Maranhão",264
"Mato Grosso do Sul",2371
"Mato Grosso",3043
"Minas Gerais",19469
"Pará",346
"Paraíba",1009
"Paraná",6071
"Pernambuco",3351
"Piauí",40
"Rio de Janeiro",3992
"Rio Grande do Norte",785
"Rio Grande do Sul",305
"Rondônia",703
"Roraima",23
"São Paulo",513
"Santa Catarina",18178
"Sergipe",159
"Tocantins",1561
